Type	Model	Manufacturer or vendor	Serial Number	Comments	Needed for contents in final version?
SEC-MALLS detector	BI-MwA	Brookhaven Instruments Corporation, Holtsville, NY, USA	91077	Angles: 35°, 50°, 75°, 90°, 105°, 130°, 145°; Wavelength: 637 nm	y
SEC-MALLS pump	1260 Infinity isocratic pump	Agilent Technologies, Waldbronn	DEAB901844		y
SEC-MALLS RID	1260 Infinity	Agilent Technologies, Waldbronn	DEAA602889		y
SEC-MALLS system	SECcurity	PSS Polymer Standards Service GmbH, Mainz	-		y
Shaker	Tmix	Analytik Jena AG, Jena	BYQ6008H-147		y
Shaker	TiMix 5 Control	Edmund Bühler GmbH, Hechingen	6167 CZ 01013	eccentricity e = \SImm{1.5}; Schüttler 1	y
Shaker	MaxQ 2000	Thermo Fisher Scientific Inc., Waltham, MA, USA	?	1.C01.2; S/N n. e; eccentricity e = \SIcm{1.9}	y
Shaker	MaxQ 2000	Thermo Fisher Scientific Inc., Waltham, MA, USA	222463-28	1.B04; eccentricity e = \SIcm{1.9}	y
Shaker incubator	KS 4000 ic control	IKA-Werke GmbH \& Co. KG, Staufen	?	S/N n. e.	y
Shaker incubator	HT Minitron	Infors AG, Bottmingen/Basel, Switzerland	?	S/N n. e.	y
Stirrer (PTFE, crescent)	K074.1	Carl Roth GmbH + Co. KG, Karlsruhe	-		y
Stirrer plate	RO 15 power	IKA-Werke GmbH \& Co. KG, Staufen	01.740329		y
Ultrapure water system	PURELAB Classic	ELGA Lab Water, Celle	?	S/N n. e.	y
UV/Vis Photometer	Multiskan Spectrum	Thermo Fisher Scientific Inc., Waltham, MA, USA	1500-883		y
UV/Vis Photometer	Varioskan	Thermo Fisher Scientific Inc., Waltham, MA, USA	3001-15		y
Vacuum drying oven	VDL 53	BINDER GmbH, Tuttlingen	-		y
Vacuum pump	DC 2004 VARIO	VACUUBRAND GmbH + Co. KG, Wertheim	-	Laborvakuum	y
Vacuum pump	RC 6	VACUUBRAND GmbH + Co. KG, Wertheim	33249010		y
Vortex mixer	444-1372	VWR International bvba/sprl, Leuven, Belgium	030933816		y
Water bath	CC 1	Peter Huber Kältemaschinenbau GmbH, Offenburg	64180		y

