Plate	Well (y)	Well (x)	Furfural rank	HMF rank	Vanillin rank	Acetic acid rank	Formic acid rank	Laevulinic acid rank	LCH rank	Furfural value	HMF value	Vanillin value	Acetic acid value	Formic acid value	Laevulinic acid value	LCH value
Xyl1	D	11	47	78	75	44	42	31	74	0.662227	0.590477	0	1.009491	1.012567	0.995634	0.799823
Xyl1	D	12	1	100	76	5	111	3	50	1.471574	0.321964	0	1.374505	0.70827	1.154356	0.908126
Xyl1	E	1	78	113	77	7	24	52	39	0.212853	0.123232	0	1.334575	1.184262	0.945665	0.965743
Xyl1	E	2	65	112	78	24	62	15	106	0.42929	0.124708	0	1.088267	0.962018	1.025288	0.394677
Xyl1	E	3	42	54	6	32	57	63	29	0.696941	0.723575	0.665252	1.047034	0.967404	0.909435	1.006073
Xyl1	E	4	57	97	79	91	51	42	89	0.554578	0.346927	0	0.852325	0.999989	0.963321	0.711652
Xyl1	E	5	84	80	80	97	106	91	94	0.156455	0.569834	0	0.83456	0.771261	0.769055	0.613924
Xyl1	E	6	79	109	81	87	105	80	81	0.210206	0.215893	0	0.868559	0.783437	0.832939	0.763581
Xyl1	E	7	34	61	2	35	48	45	37	0.730581	0.679962	0.746302	1.044789	1.001622	0.957427	0.969311
Xyl1	E	8	46	66	32	43	79	51	79	0.668516	0.667924	0.006772	1.011119	0.925019	0.946643	0.77237
Xyl1	E	9	83	118	82	85	124	82	105	0.187208	0.049648	0	0.880843	0.134462	0.826923	0.426417
Xyl1	E	10	112	110	83	77	110	79	-	0.013958	0.202486	0	0.935729	0.720494	0.844354	-
Xyl1	E	11	-	-	-	-	-	-	98	-	-	-	-	-	-	0.561292
Xyl1	F	1	91	3	84	19	107	86	129	0.114334	1.678663	0	1.147293	0.757797	0.789491	0.001509
Xyl1	F	2	95	1	85	99	8	70	43	0.095206	2.281735	0	0.820381	1.416095	0.895882	0.938665
Xyl1	F	3	101	4	86	113	117	103	96	0.055652	1.358084	0	0.356135	0.623387	0.693957	0.61165
Xyl1	F	4	4	5	87	101	5	105	115	1.356474	1.336924	0	0.769662	1.445423	0.669672	0.039271
Xyl1	F	5	69	82	88	105	19	112	102	0.382947	0.507416	0	0.664414	1.286832	0.581429	0.519
Xyl1	F	6	109	102	89	18	108	85	1	0.018592	0.297674	0	1.154935	0.746696	0.792159	1.620315
Xyl1	F	7	116	104	90	125	63	100	7	0.009363	0.266922	0	0.056879	0.961991	0.706126	1.245948
Xyl1	F	8	12	15	91	106	26	114	130	0.989241	1.019452	0	0.63362	1.173237	0.558464	0
Xyl1	F	9	17	7	37	78	121	39	131	0.905567	1.169806	0.003492	0.925456	0.446754	0.967555	0
Xyl1	F	10	85	26	14	116	4	111	-	0.155165	0.876917	0.608071	0.325672	1.532311	0.606112	-
Xyl1	F	11	-	-	-	-	-	-	123	-	-	-	-	-	-	0.014734
Xyl1	F	12	117	90	92	121	10	121	111	0.009336	0.435722	0	0.23046	1.374284	0.40668	0.069184
Xyl1	G	1	119	91	93	120	15	125	124	0.008624	0.425727	0	0.23166	1.317799	0.377817	0.013926
Xyl1	G	2	115	88	94	118	13	122	120	0.010968	0.443959	0	0.24255	1.332836	0.394868	0.020283
Xyl1	G	3	118	92	95	119	14	124	113	0.009019	0.424133	0	0.233647	1.326127	0.38425	0.052451
Xyl1	G	4	-	-	-	-	-	-	119	-	-	-	-	-	-	0.021839
Xyl1	G	5	6	14	24	4	6	6	45	1.231188	1.049916	0.190183	1.383397	1.434313	1.085098	0.929238
Xyl1	G	6	-	-	-	-	-	-	88	-	-	-	-	-	-	0.71466
