Stamm	Man	Nig	GlcUA	Lam	GlcN	GalUA	Rib	Rha	Ism	Gen	Koj	GalN	GlcNAc	Mal	Lac	Cel	Sop	Glc	GalNAc	Gal	Ara	Xyl	Fuc	2-d-Glc	2-d-Rib	Summe	Summe ohne Xylose
Xyl1.F12	1.81	n	0.00	n	3.56	0.00	2.22	1.63	n	0.00	n	2.28	0.00	n	0.00	n	n	4.55	0.00	1.27	n	14.96	0.00	0.93	0.00	33.21	18.25
Xyl1.G1	0.00	n	0.00	n	2.76	0.00	0.00	0.00	n	0.00	n	2.16	0.00	n	0.00	n	n	11.40	0.00	1.08	n	8.52	0.00	0.00	0.00	25.92	17.40
Xyl1.G2	1.98	n	0.00	n	3.50	0.00	0.00	0.00	n	0.00	n	2.36	0.00	n	0.00	n	n	7.73	0.00	1.34	n	12.94	0.00	0.00	0.00	29.85	16.91
Xyl1.G3	1.81	n	0.00	n	0.00	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	7.84	0.00	1.16	n	13.26	0.00	0.00	0.00	24.07	10.81
Xyl1.G4	0.00	n	0.00	n	0.00	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	3.46	0.00	1.25	n	1.66	0.00	0.00	0.00	6.37	4.71
Xyl1.G5	24.09	j	17.42	n	2.24	0.00	0.00	2.94	n	0.00	n	0.00	0.00	n	0.00	n	n	12.02	0.00	1.57	n	6.63	0.00	0.00	0.00	66.92	60.28
Xyl1.G6	0.00	n	0.00	n	0.00	0.00	2.13	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	4.25	0.00	1.23	n	1.64	0.00	0.00	0.00	9.24	7.61
Xyl1.G7	1.95	n	0.00	n	2.34	0.00	0.00	2.06	n	0.00	n	0.00	0.00	n	0.00	n	n	4.57	0.00	1.44	n	1.55	0.00	0.00	0.00	13.90	12.35
Xyl1.G8	0.00	n	0.00	n	0.00	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	4.78	0.00	1.59	n	1.60	0.36	0.00	0.00	8.33	6.72
Xyl1.G9	0.00	n	0.00	n	1.82	0.00	0.00	2.52	n	0.00	n	0.00	0.00	n	0.00	n	n	7.10	0.00	1.21	n	1.70	0.99	0.00	0.00	15.35	13.64
Xyl1.G10	1.89	n	0.00	n	1.80	0.00	0.00	2.52	n	0.00	n	0.00	0.00	n	0.00	n	n	6.85	0.00	1.13	n	1.60	1.33	0.00	0.00	17.13	15.53
Xyl1.G11	1.89	n	0.00	n	2.66	0.00	1.97	0.00	n	0.00	n	2.06	0.00	n	0.00	n	n	6.82	0.00	1.94	n	1.58	0.00	1.23	0.00	20.15	18.57
Xyl1.G12	3.04	n	0.00	n	0.00	0.00	0.00	2.03	n	0.00	n	0.00	0.00	n	0.00	n	n	6.56	0.00	1.53	n	1.90	0.00	0.00	0.00	15.05	13.15
Xyl1.H1	0.00	n	0.00	n	4.20	0.00	0.00	0.00	n	0.00	n	2.92	0.00	n	0.00	n	n	9.57	0.00	1.68	n	1.79	0.00	0.00	0.00	20.16	18.37
Xyl1.H2	5.01	n	0.00	n	6.90	0.00	0.00	4.54	n	0.00	n	2.96	0.00	n	0.00	n	n	7.86	0.00	1.93	n	5.19	0.00	0.00	0.00	34.38	29.19
Xyl1.H3	8.61	n	4.34	n	0.00	0.00	2.16	2.46	n	0.00	n	0.00	0.00	n	0.00	n	j	11.03	0.00	1.13	n	5.61	0.00	0.00	0.00	35.34	29.73
Xyl1.H4	2.02	n	0.00	n	0.00	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	1.62	0.00	1.19	n	83.52	0.00	0.00	0.00	88.35	4.82
Xyl1.H5	1.92	n	0.00	n	1.88	0.00	0.00	2.76	n	0.00	n	0.00	0.00	n	0.00	n	n	1.81	0.00	1.54	n	19.40	0.00	0.00	0.00	29.30	9.90
Xyl1.H6	1.95	n	0.00	n	0.00	0.00	2.56	4.01	n	0.00	n	0.00	0.00	n	0.00	n	n	10.65	0.00	2.91	n	19.44	0.00	0.00	0.00	41.52	22.08
Xyl1.H7	1.95	n	0.00	n	0.00	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	1.45	0.00	1.18	n	85.82	0.14	0.00	0.00	90.54	4.72
Xyl1.H8	0.00	n	22.12	n	0.00	0.00	0.00	140.84	n	0.00	n	0.00	0.00	n	0.00	n	n	1.54	0.00	129.26	n	2.26	0.00	0.00	0.00	296.03	293.77
Xyl1.H9	2.12	n	0.00	n	1.80	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	1.51	0.00	1.31	n	54.42	0.00	0.00	0.00	61.16	6.74
Xyl1.H10	2.52	n	0.00	n	2.36	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	1.78	0.00	1.10	n	84.28	0.00	0.00	0.00	92.03	7.76
Xyl1.H11	0.00	n	0.00	n	0.00	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	4.23	0.00	1.77	n	71.24	0.00	0.00	0.00	77.23	6.00
Xyl1.H12	0.00	n	0.00	n	4.96	0.00	0.00	0.00	n	0.00	n	2.76	0.00	n	0.00	n	n	2.18	0.00	1.24	n	90.99	0.00	0.00	0.00	102.14	11.15

