Plate	Position (x)	Position (y)	Absorption (dimensionless) at 418 nm	Absorption (dimensionless) at 480 nm	Absorption difference	Calculated glucose in mg/l	Dilution factor	Glucose concentration in mg/l (undiluted)
IS1r2rez	3	B	0.0595	0.0450	0.0145	-0.2966080322	100	0
IS1r2rez	4	B	0.0532	0.0423	0.0109	-0.4301177605	100	0
IS1r2rez	5	B	0.0571	0.0431	0.0140	-0.3164295862	100	0
IS1r2rez	6	B	0.0586	0.0431	0.0155	-0.2626357202	100	0
IS1r2rez	7	B	1.6704	0.1417	1.5287	55.0523858344	100	5505
IS1r2rez	8	B	1.2036	0.1133	1.0902	39.024127606	100	3902
IS1r2rez	9	B	0.0506	0.0422	0.0084	-0.520183731	100	0
IS1r2rez	10	B	1.2687	0.1213	1.1475	41.1166603697	100	4112
IS1r2rez	11	B	2.6107	0.2044	2.4063	87.1322801056	100	8713
IS1r2rez	12	B	2.6784	0.2011	2.4773	89.7265354898	100	8973
IS1r2rez	1	C	0.2383	0.0529	0.1854	5.9490249224	100	595
IS1r2rez	2	C	0.0527	0.0419	0.0109	-0.4302566247	100	0
IS1r2rez	3	C	0.0511	0.0417	0.0094	-0.4847505329	100	0
IS1r2rez	4	C	0.0556	0.0414	0.0142	-0.3079707211	100	0
IS1r2rez	5	C	1.1538	0.1057	1.0480	37.4823508162	100	3748
IS1r2rez	6	C	0.0553	0.0411	0.0142	-0.3097899124	100	0
IS1r2rez	7	C	1.6331	0.1388	1.4943	53.7948510082	100	5379
IS1r2rez	8	C	2.7702	0.2088	2.5613	92.7996977779	100	9280
IS1r2rez	9	C	0.0544	0.0414	0.0130	-0.3510432576	100	0
IS1r2rez	10	C	0.4198	0.0756	0.3442	11.754650038	100	1175
IS1r2rez	11	C	2.9216	0.2144	2.7072	98.1330461521	100	9813
IS1r2rez	12	C	2.5413	0.1973	2.3440	84.8562150468	100	8486
IS1r2rez	1	D	0.0504	0.0432	0.0072	-0.5660379084	100	0
IS1r2rez	2	D	0.0552	0.0432	0.0119	-0.3917625975	100	0
IS1r2rez	3	D	0.0606	0.0495	0.0111	-0.4208576103	100	0
IS1r2rez	4	D	0.0542	0.0429	0.0113	-0.4138702208	100	0
IS1r2rez	5	D	0.1252	0.0474	0.0778	2.0161867421	100	202
IS1r2rez	6	D	0.0498	0.0425	0.0074	-0.5583307823	100	0
IS1r2rez	7	D	0.0583	0.0449	0.0134	-0.3380343894	100	0
IS1r2rez	8	D	1.9423	0.1571	1.7851	64.4252658502	100	6443
IS1r2rez	9	D	0.0559	0.0447	0.0112	-0.4166108668	100	0
IS1r2rez	10	D	0.4276	0.0763	0.3513	12.0140669347	100	1201
IS1r2rez	11	D	0.0562	0.0440	0.0122	-0.3813496733	100	0
IS1r2rez	12	D	1.1581	0.1103	1.0477	37.4714078486	100	3747
IS1r2rez	1	E	0.0550	0.0452	0.0098	-0.4693245456	100	0
IS1r2rez	2	E	0.0541	0.0421	0.0120	-0.3883188287	100	0
IS1r2rez	3	E	1.5165	0.1325	1.3840	49.7619781476	100	4976
IS1r2rez	4	E	0.0709	0.0593	0.0116	-0.4030179636	100	0
IS1r2rez	5	E	0.0592	0.0474	0.0118	-0.3942601009	100	0
IS1r2rez	6	E	1.4832	0.1290	1.3542	48.6732681024	100	4867
IS1r2rez	7	E	0.8536	0.0904	0.7633	27.0725688846	100	2707
IS1r2rez	8	E	1.9543	0.1548	1.7994	64.9489602104	100	6495
IS1r2rez	9	E	0.0519	0.0426	0.0093	-0.4881889894	100	0
IS1r2rez	10	E	0.3986	0.0738	0.3248	11.0447652038	100	1104
IS1r2rez	11	E	0.0540	0.0420	0.0120	-0.3897770055	100	0
IS1r2rez	12	E	1.1074	0.1061	1.0013	35.773231195	100	3577
IS1r2rez	1	F	0.0555	0.0426	0.0129	-0.3561858039	100	0
IS1r2rez	2	F	0.0559	0.0427	0.0132	-0.3460544049	100	0
IS1r2rez	3	F	3.1057	0.2572	2.8485	103.2984213741	100	10330
IS1r2rez	4	F	0.0637	0.0548	0.0089	-0.5006085375	100	0
IS1r2rez	5	F	0.0645	0.0542	0.0103	-0.4525413494	100	0
IS1r2rez	6	F	0.0624	0.0425	0.0199	-0.1003253926	100	0
